FIPS,Population,White,Black,Native,Asian,Pacific_Islander,Other,Multiracial,Percentage_White,Percentage_Black,Percentage_Native,Percentage_Asian,Percentage_Pacific_Islander,Percentage_Other,Percentage_Multiracial,Percentage_Nonwhite,Percent_Hispanic,Percentage_Household_Poverty,Percentage_DifferentHouseOneYearAgo,Percentage_AbroadOneYearAgo,MedianAge_Total,MedianAge_Male,MedianAge_Female
250250108011,791,691,4,0,84,0,2,10,87.35777497,0.505689001,0,10.61946903,0,0.252844501,1.264222503,12.64222503,6.953223767,6.182795699,24.27307206,3.413400759,27.8,35.4,27
250250108012,1059,936,1,0,80,0,23,19,88.38526912,0.094428706,0,7.554296506,0,2.171860246,1.79414542,11.61473088,7.932011331,3.900156006,21.71860246,1.510859301,46.9,39.6,54.7
250250108013,1241,1201,0,0,40,0,0,0,96.77679291,0,0,3.223207091,0,0,0,3.223207091,6.285253828,10.71428571,20.38678485,9.508460919,32.4,32.2,32.8
250250108021,915,710,8,0,160,0,8,29,77.59562842,0.87431694,0,17.4863388,0,0.87431694,3.169398907,22.40437158,6.010928962,10.95152603,25.3038674,0,32.7,35,30.8
250250108022,1279,1201,25,0,37,0,6,10,93.90148554,1.954652072,0,2.892885066,0,0.469116497,0.781860829,6.098514464,10.00781861,12.46819338,25.80140735,5.16028147,34.1,33.2,34.4
250250108023,655,620,0,0,35,0,0,0,94.65648855,0,0,5.34351145,0,0,0,5.34351145,9.923664122,9.393939394,16.18320611,0,35.5,34.8,48.1
250250201011,714,661,11,0,0,0,0,42,92.57703081,1.540616246,0,0,0,0,5.882352941,7.422969188,2.661064426,3.440860215,27.45098039,0,42.4,42.1,45.4
250250201012,998,989,0,0,9,0,0,0,99.09819639,0,0,0.901803607,0,0,0,0.901803607,0,4.496124031,33.16378433,0,32.9,32.6,35.5
250250201013,1247,1142,14,0,91,0,0,0,91.5797915,1.122694467,0,7.297514034,0,0,0,8.4202085,0,7.936507937,7.698476343,0,35.3,40,35.3
250250201014,1457,1405,14,0,38,0,0,0,96.43102265,0.960878518,0,2.608098833,0,0,0,3.568977351,1.166781057,8.450704225,11.8513324,0,29.1,31.9,28
250250202001,1567,1288,107,0,123,0,20,29,82.1952776,6.828334397,0,7.849393746,0,1.276324186,1.85067007,17.8047224,12.25271219,20.70135747,49.57709824,0.845803513,26.6,27,26.4
250250202002,1193,1022,0,0,132,0,39,0,85.66638726,0,0,11.06454317,0,3.269069573,0,14.33361274,11.23218776,19.71428571,28.58340319,1.089689858,28.9,28.5,30.6
250250202003,1134,955,0,0,142,0,0,37,84.21516755,0,0,12.52204586,0,0,3.262786596,15.78483245,0.970017637,9.508196721,47.5308642,0,29.1,30.1,28.1
250250203011,390,216,3,0,171,0,0,0,55.38461538,0.769230769,0,43.84615385,0,0,0,44.61538462,0.512820513,34.65909091,33.84615385,3.846153846,77.3,78.2,61.6
250250203012,1981,1445,33,0,410,0,9,84,72.9429581,1.665825341,0,20.69661787,0,0.454316002,4.240282686,27.0570419,6.259464917,6.339285714,44.09937888,5.590062112,31,31,31.1
250250203021,995,949,0,0,4,0,0,42,95.37688442,0,0,0.40201005,0,0,4.221105528,4.623115578,1.306532663,6.357388316,27.01325178,0.611620795,29.3,29.3,29.4
250250203031,1197,882,12,0,267,0,19,17,73.68421053,1.002506266,0,22.30576441,0,1.587301587,1.42021721,26.31578947,16.54135338,10.58282209,22.01914708,9.138381201,29.6,31.7,28.5
250250203032,1096,748,224,0,26,0,78,20,68.24817518,20.4379562,0,2.372262774,0,7.116788321,1.824817518,31.75182482,17.0620438,19.85294118,60.29547553,1.015697138,32,32.6,31.3
250250203033,1281,727,61,0,240,0,189,64,56.75253708,4.761904762,0,18.735363,0,14.75409836,4.996096799,43.24746292,15.6128025,18.5840708,7.643814027,2.285263987,45,47.4,44.7
250250301001,1324,1274,0,0,45,0,5,0,96.22356495,0,0,3.398791541,0,0.377643505,0,3.776435045,2.190332326,7.487922705,34.95440729,0,30.3,29.2,30.6
250250301002,827,792,0,0,27,0,0,8,95.76783555,0,0,3.264812576,0,0,0.967351874,4.23216445,0,12.57995736,38.54818523,0.625782228,30.6,32.1,27.9
250250302001,1738,1671,8,0,28,0,3,28,96.14499425,0.460299194,0,1.611047181,0,0.172612198,1.611047181,3.855005754,9.20598389,10.17110266,30.84004603,2.071346375,28.9,29.4,28.2
250250303001,2220,1883,80,0,189,0,43,25,84.81981982,3.603603604,0,8.513513514,0,1.936936937,1.126126126,15.18018018,2.522522523,4.456824513,19.81981982,0.900900901,56.1,53.2,57.7
250250303002,1202,950,114,0,39,0,84,15,79.03494176,9.484193012,0,3.244592346,0,6.988352745,1.247920133,20.96505824,2.995008319,15.85365854,25.16891892,7.85472973,36.5,37.1,36.2
250250303003,1523,1134,232,21,81,0,45,10,74.45830598,15.23309258,1.378857518,5.318450427,0,2.954694682,0.656598818,25.54169402,10.70256074,16.92913386,41.03742613,3.6112935,32.7,35.1,23.3
250250303004,566,439,0,0,26,0,101,0,77.56183746,0,0,4.593639576,0,17.84452297,0,22.43816254,20.49469965,3.47826087,56.53710247,0,31.2,49.3,30.6
250250304001,1585,1489,0,0,86,0,10,0,93.94321767,0,0,5.425867508,0,0.630914826,0,6.056782334,3.974763407,9.236031927,31.04100946,0.441640379,30.4,32,30.1
250250304002,1023,932,24,0,0,0,23,44,91.10459433,2.346041056,0,0,0,2.248289345,4.301075269,8.89540567,5.571847507,9.952606635,30.59628543,0.782013685,30.1,32.7,28.7
250250305001,706,638,0,0,51,0,0,17,90.36827195,0,0,7.223796034,0,0,2.407932011,9.631728045,2.549575071,4.487179487,27.54662841,1.721664275,45.8,43,47.2
250250305002,1081,971,9,0,41,0,34,26,89.82423682,0.832562442,0,3.792784459,0,3.145235893,2.405180389,10.17576318,0,4.049844237,26.23255814,2.511627907,30.9,33.7,30.3
250250305003,823,797,0,0,8,0,0,18,96.84082625,0,0,0.972053463,0,0,2.187120292,3.159173755,0,9.604519774,40.09720535,7.168894289,30.2,32.5,28.4
250250401001,952,952,0,0,0,0,0,0,100,0,0,0,0,0,0,0,13.86554622,5.296610169,14.71571906,0,44.5,44.4,44.7
250250401002,1447,1371,0,0,71,0,0,5,94.74775397,0,0,4.906703525,0,0,0.345542502,5.252246026,1.865929509,3.017241379,13.02816901,0,32.8,35.7,32.3
